LocalObservationDateTime,EpochTime,WeatherText,WeatherIcon,HasPrecipitation,PrecipitationType,IsDayTime,Temperature.Metric.Value,Temperature.Metric.Unit,Temperature.Metric.UnitType,Temperature.Imperial.Value,Temperature.Imperial.Unit,Temperature.Imperial.UnitType,MobileLink,Link
"2021-08-25T08:25:00+05:30",1629860100,"Light fog",11,FALSE,NA,TRUE,27.2,C,17,81,F,18,"http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us","http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us"
"2021-08-25T07:25:00+05:30",1629856500,"Light fog",11,FALSE,NA,TRUE,26.1,C,17,79,F,18,"http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us","http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us"
"2021-08-25T06:25:00+05:30",1629852900,"Light fog",11,FALSE,NA,TRUE,26.1,C,17,79,F,18,"http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us","http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us"
"2021-08-25T05:25:00+05:30",1629849300,"Light fog",11,FALSE,NA,FALSE,26.1,C,17,79,F,18,"http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us","http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us"
"2021-08-25T04:25:00+05:30",1629845700,"Light fog",11,FALSE,NA,FALSE,26.1,C,17,79,F,18,"http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us","http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us"
"2021-08-25T03:26:00+05:30",1629842160,"Light fog",11,FALSE,NA,FALSE,26.1,C,17,79,F,18,"http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us","http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us"
"2021-08-25T02:25:00+05:30",1629838500,"Light fog",11,FALSE,NA,FALSE,26.1,C,17,79,F,18,"http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us","http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us"
"2021-08-25T01:25:00+05:30",1629834900,"Light fog",11,FALSE,NA,FALSE,26.1,C,17,79,F,18,"http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us","http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us"
"2021-08-25T00:25:00+05:30",1629831300,"Rain",18,TRUE,"Rain",FALSE,26.1,C,17,79,F,18,"http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us","http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us"
"2021-08-24T23:25:00+05:30",1629827700,"Thundershower",15,TRUE,"Rain",FALSE,26.1,C,17,79,F,18,"http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us","http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us"
"2021-08-24T22:26:00+05:30",1629824160,"Thundershower",15,TRUE,"Rain",FALSE,26.1,C,17,79,F,18,"http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us","http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us"
"2021-08-24T21:26:00+05:30",1629820560,"Thundershower",15,TRUE,"Rain",FALSE,26.1,C,17,79,F,18,"http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us","http://www.accuweather.com/en/in/lucknow/206678/current-weather/206678?lang=en-us"
